iter	RMSE
0	22.26413875
1	21.16574476
2	20.21033412
3	19.46776973
4	18.59474897
5	17.87142352
6	17.27654345
7	16.67034266
8	16.14788727
9	15.59044792
10	15.20998785
11	14.83486173
12	14.53524252
13	14.18976743
14	13.9469779
15	13.75763162
16	13.44327777
17	13.24751678
18	13.02643286
19	12.83557332
20	12.65087195
21	12.52296145
22	12.40495983
23	12.32918961
24	12.21380387
25	12.12768737
26	12.03065928
27	11.93665626
28	11.83696851
29	11.79343883
30	11.72075918
31	11.65713297
32	11.62410141
33	11.53115681
34	11.45897982
35	11.41142428
36	11.36750919
37	11.3050737
38	11.25778136
39	11.19507444
40	11.15297579
41	11.10223052
42	11.06924903
43	11.01450683
44	10.96889974
45	10.92675293
46	10.88475079
47	10.8474019
48	10.79733982
49	10.75588223
50	10.71989161
51	10.68479384
52	10.63346966
53	10.59977516
54	10.56320516
55	10.53261668
56	10.51200565
57	10.49421008
58	10.47120964
59	10.44183152
60	10.4160486
61	10.36734821
62	10.34741657
63	10.33153377
64	10.31681832
65	10.2862723
66	10.25330069
67	10.2360692
68	10.1948459
69	10.15575106
70	10.12552658
71	10.09730008
72	10.052118
73	10.03595239
74	10.01041813
75	9.979363123
76	9.96092914
77	9.933641189
78	9.913203661
