iter	Passed	Remaining
0	1	8330
1	2	7064
2	4	6693
3	5	6257
4	5	5947
5	6	5713
6	7	5530
7	8	5415
8	9	5299
9	10	5216
10	11	5152
11	12	5092
12	13	5051
13	14	5033
14	15	5008
15	15	4983
16	17	4994
17	17	4968
18	18	4922
19	19	4912
20	20	4915
21	21	4907
22	22	4886
23	23	4864
24	24	4850
25	25	4845
26	26	4838
27	27	4825
28	28	4825
29	29	4816
30	30	4821
31	31	4821
32	32	4830
33	33	4822
34	33	4802
35	34	4782
36	35	4756
37	36	4749
38	37	4742
39	38	4747
40	39	4732
41	40	4737
42	41	4731
43	42	4731
44	42	4726
45	43	4730
46	44	4727
47	45	4724
48	46	4723
49	47	4741
50	48	4733
51	49	4725
52	50	4726
53	51	4719
54	52	4708
55	53	4703
56	54	4698
57	55	4696
58	56	4691
59	56	4687
60	57	4684
61	58	4675
62	59	4669
63	60	4667
64	61	4656
65	62	4657
66	63	4654
67	65	4724
68	66	4732
69	67	4726
70	67	4717
71	68	4707
72	69	4705
73	70	4704
74	71	4703
75	72	4701
76	73	4703
77	74	4703
78	75	4700
