T12,T15,Ne12,N12,S12,E12,W12,Vx,O3v,nebulosite_SOLEIL,vent_NORD,vent_OUEST,vent_SUD,Y
13.4,15.0,7,0,0,3,0,9.35,95.6,0.0,0.0,0.0,0.0,63.6
15.0,15.7,4,3,0,0,0,5.4,100.2,1.0,1.0,0.0,0.0,89.6
7.9,10.1,8,0,0,7,0,19.3,105.6,0.0,0.0,0.0,0.0,79.0
13.1,11.7,7,7,0,0,0,12.6,95.2,0.0,1.0,0.0,0.0,81.2
14.1,16.0,6,0,0,0,6,-20.3,82.8,0.0,0.0,1.0,0.0,88.0
16.7,18.1,7,0,3,0,0,-3.69,71.4,0.0,0.0,0.0,1.0,68.4
26.8,28.2,1,0,0,3,0,8.27,90.0,1.0,0.0,0.0,0.0,139.0
18.4,20.7,7,4,0,0,0,4.93,60.0,0.0,1.0,0.0,0.0,78.2
27.2,27.7,6,0,4,0,0,-4.93,125.8,0.0,0.0,0.0,1.0,113.8
20.6,19.7,8,0,0,0,1,-3.38,62.6,0.0,0.0,1.0,0.0,41.8
21.0,21.1,6,0,0,0,7,-23.68,38.0,0.0,0.0,1.0,0.0,65.0
17.4,22.8,8,0,0,0,2,-6.24,70.8,0.0,0.0,1.0,0.0,73.0
26.9,29.5,2,0,0,4,0,14.18,119.8,1.0,0.0,0.0,0.0,126.2
25.5,27.8,3,0,0,5,0,13.79,103.6,1.0,0.0,0.0,0.0,127.8
19.4,21.5,7,6,0,0,0,-7.39,69.2,0.0,1.0,0.0,0.0,61.6
20.8,21.4,7,0,0,0,5,-13.79,48.0,0.0,0.0,1.0,0.0,63.6
29.5,30.6,2,0,3,0,0,1.88,118.6,1.0,0.0,0.0,1.0,134.2
21.7,20.3,7,0,0,0,7,-24.82,60.0,0.0,0.0,1.0,0.0,67.2
19.7,21.7,5,0,0,3,0,9.35,74.4,1.0,0.0,0.0,0.0,87.8
19.0,21.0,6,0,0,8,0,28.36,103.8,0.0,0.0,0.0,0.0,96.8
20.7,22.9,1,0,0,4,0,12.47,78.8,1.0,0.0,0.0,0.0,89.6
18.0,18.5,7,0,0,0,2,-5.52,72.2,0.0,0.0,1.0,0.0,66.4
17.4,16.4,8,0,6,0,0,-10.8,53.4,0.0,0.0,0.0,1.0,60.0
16.3,18.1,0,0,0,5,0,18.0,89.0,1.0,0.0,0.0,0.0,90.8
13.6,14.4,1,0,0,1,0,3.55,97.8,1.0,0.0,0.0,0.0,104.2
15.8,16.7,7,7,0,0,0,-12.6,61.4,0.0,1.0,0.0,0.0,70.0
26.0,27.3,2,0,0,5,0,16.91,87.4,1.0,0.0,0.0,0.0,96.2
23.5,23.7,7,0,0,0,3,-9.35,67.8,0.0,0.0,1.0,0.0,65.6
26.3,27.3,4,0,0,5,0,16.91,98.6,1.0,0.0,0.0,0.0,109.2
21.8,23.6,6,4,0,0,0,2.5,112.0,0.0,1.0,0.0,0.0,86.2
24.8,26.6,3,0,0,0,2,-7.09,49.8,1.0,0.0,1.0,0.0,87.4
25.2,27.5,3,0,0,0,3,-10.15,131.8,1.0,0.0,1.0,0.0,84.0
24.6,27.9,3,0,0,0,2,-5.52,113.8,1.0,0.0,1.0,0.0,83.0
16.8,19.0,7,0,0,0,8,-27.06,55.8,0.0,0.0,1.0,0.0,59.6
17.1,18.3,8,5,0,0,0,-3.13,65.8,0.0,1.0,0.0,0.0,52.0
18.0,18.3,7,0,5,0,0,-11.57,90.4,0.0,0.0,0.0,1.0,73.8
28.9,30.0,1,0,0,3,0,8.27,111.4,1.0,0.0,0.0,0.0,129.0
23.4,25.4,0,0,0,2,0,5.52,118.6,1.0,0.0,0.0,0.0,122.4
13.0,14.3,3,7,0,0,0,12.6,84.0,1.0,1.0,0.0,0.0,106.6
26.0,28.0,2,0,4,0,0,2.5,109.8,1.0,0.0,0.0,1.0,121.8
24.9,25.8,2,0,0,5,0,18.0,142.8,1.0,0.0,0.0,0.0,116.2
18.4,16.8,7,0,0,0,4,-14.4,80.8,0.0,0.0,1.0,0.0,81.4
18.7,19.6,5,0,0,0,5,-15.59,60.4,1.0,0.0,1.0,0.0,88.6
20.4,16.6,7,0,0,0,8,-22.06,79.8,0.0,0.0,1.0,0.0,63.0
19.6,21.2,6,0,0,0,3,-10.8,84.6,0.0,0.0,1.0,0.0,104.0
23.2,23.9,4,0,4,0,0,-7.2,92.6,1.0,0.0,0.0,1.0,88.4
19.8,20.3,8,0,0,5,0,17.73,40.2,0.0,0.0,0.0,0.0,83.8
18.9,19.3,8,0,0,0,4,-14.4,73.6,0.0,0.0,1.0,0.0,56.4
19.7,19.3,7,0,0,0,5,-17.73,59.0,0.0,0.0,1.0,0.0,50.4
21.1,21.9,3,4,0,0,0,9.26,55.2,1.0,1.0,0.0,0.0,79.2
