E12,N12,Ne12,O3v,S12,T12,T15,Vx,W12,nebulosite_SOLEIL,vent_NORD,vent_OUEST,vent_SUD,E12_cu,E12_sq,N12_cu,N12_sq,Ne12_cu,Ne12_sq,O3v_cu,O3v_sq,S12_cu,S12_sq,T12_cu,T12_sq,T15_cu,T15_sq,Vx_cu,Vx_sq,W12_cu,W12_sq,E12:N12,E12:Ne12,E12:O3v,E12:S12,E12:T12,E12:T15,E12:Vx,E12:W12,E12:nebulosite[T.SOLEIL],E12:vent[T.NORD],E12:vent[T.OUEST],E12:vent[T.SUD],N12:Ne12,N12:O3v,N12:S12,N12:T12,N12:T15,N12:Vx,N12:W12,N12:nebulosite[T.SOLEIL],N12:vent[T.NORD],N12:vent[T.OUEST],N12:vent[T.SUD],Ne12:O3v,Ne12:S12,Ne12:T12,Ne12:T15,Ne12:Vx,Ne12:W12,Ne12:nebulosite[T.SOLEIL],Ne12:vent[T.NORD],Ne12:vent[T.OUEST],Ne12:vent[T.SUD],O3v:S12,O3v:T12,O3v:T15,O3v:Vx,O3v:W12,O3v:nebulosite[T.SOLEIL],O3v:vent[T.NORD],O3v:vent[T.OUEST],O3v:vent[T.SUD],S12:T12,S12:T15,S12:Vx,S12:W12,S12:nebulosite[T.SOLEIL],S12:vent[T.NORD],S12:vent[T.OUEST],S12:vent[T.SUD],T12:T15,T12:Vx,T12:W12,T12:nebulosite[T.SOLEIL],T12:vent[T.NORD],T12:vent[T.OUEST],T12:vent[T.SUD],T15:Vx,T15:W12,T15:nebulosite[T.SOLEIL],T15:vent[T.NORD],T15:vent[T.OUEST],T15:vent[T.SUD],Vx:W12,Vx:nebulosite[T.SOLEIL],Vx:vent[T.NORD],Vx:vent[T.OUEST],Vx:vent[T.SUD],W12:nebulosite[T.SOLEIL],W12:vent[T.NORD],W12:vent[T.OUEST],W12:vent[T.SUD],nebulosite[T.SOLEIL],nebulosite[T.SOLEIL]:vent[T.NORD],nebulosite[T.SOLEIL]:vent[T.OUEST],nebulosite[T.SOLEIL]:vent[T.SUD],vent[T.NORD],vent[T.OUEST],vent[T.SUD],Y
3,0,7,95.6,0,13.4,15.0,9.35,0,0.0,0.0,0.0,0.0,27,9,0,0,343,49,873722.8159999999,9139.359999999999,0,0,2406.1040000000003,179.56,3375.0,225.0,817.4003749999999,87.4225,0,0,0.0,21.0,286.79999999999995,0.0,40.2,45.0,28.049999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.1999999999999,0.0,93.8,105.0,65.45,0.0,0.0,0.0,0.0,0.0,0.0,1281.04,1434.0,893.8599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,125.28999999999999,0.0,0.0,0.0,0.0,0.0,140.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6
0,3,4,100.2,0,15.0,15.7,5.4,0,1.0,1.0,0.0,0.0,0,0,27,9,64,16,1006012.008,10040.04,0,0,3375.0,225.0,3869.8929999999996,246.48999999999998,157.46400000000003,29.160000000000004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,300.6,0.0,45.0,47.099999999999994,16.200000000000003,0.0,3.0,3.0,0.0,0.0,400.8,0.0,60.0,62.8,21.6,0.0,4.0,4.0,0.0,0.0,0.0,1503.0,1573.1399999999999,541.08,0.0,100.2,100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.5,81.0,0.0,15.0,15.0,0.0,0.0,84.78,0.0,15.7,15.7,0.0,0.0,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,89.6
7,0,8,105.6,0,7.9,10.1,19.3,0,0.0,0.0,0.0,0.0,343,49,0,0,512,64,1177583.616,11151.359999999999,0,0,493.03900000000004,62.410000000000004,1030.301,102.00999999999999,7189.057000000001,372.49,0,0,0.0,56.0,739.1999999999999,0.0,55.300000000000004,70.7,135.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8,0.0,63.2,80.8,154.4,0.0,0.0,0.0,0.0,0.0,0.0,834.24,1066.56,2038.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.79,152.47,0.0,0.0,0.0,0.0,0.0,194.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
0,7,7,95.2,0,13.1,11.7,12.6,0,0.0,1.0,0.0,0.0,0,0,343,49,343,49,862801.408,9063.04,0,0,2248.091,171.60999999999999,1601.6129999999996,136.89,2000.3759999999997,158.76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,666.4,0.0,91.7,81.89999999999999,88.2,0.0,0.0,7.0,0.0,0.0,666.4,0.0,91.7,81.89999999999999,88.2,0.0,0.0,7.0,0.0,0.0,0.0,1247.12,1113.84,1199.52,0.0,0.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.26999999999998,165.06,0.0,0.0,13.1,0.0,0.0,147.42,0.0,0.0,11.7,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.2
0,0,6,82.8,0,14.1,16.0,-20.3,6,0.0,0.0,1.0,0.0,0,0,0,0,216,36,567663.5519999999,6855.839999999999,0,0,2803.221,198.81,4096.0,256.0,-8365.427000000001,412.09000000000003,216,36,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,496.79999999999995,0.0,84.6,96.0,-121.80000000000001,36.0,0.0,0.0,6.0,0.0,0.0,1167.48,1324.8,-1680.84,496.79999999999995,0.0,0.0,82.8,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,225.6,-286.23,84.6,0.0,0.0,14.1,0.0,-324.8,96.0,0.0,0.0,16.0,0.0,-121.80000000000001,-0.0,-0.0,-20.3,-0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0
0,0,7,71.4,3,16.7,18.1,-3.69,0,0.0,0.0,0.0,1.0,0,0,0,0,343,49,363994.3440000001,5097.960000000001,27,9,4657.463,278.89,5929.741000000002,327.61000000000007,-50.243409,13.6161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,499.80000000000007,21.0,116.89999999999999,126.70000000000002,-25.83,0.0,0.0,0.0,0.0,7.0,214.20000000000002,1192.38,1292.3400000000001,-263.466,0.0,0.0,0.0,0.0,71.4,50.099999999999994,54.300000000000004,-11.07,0.0,0.0,0.0,0.0,3.0,302.27000000000004,-61.623,0.0,0.0,0.0,0.0,16.7,-66.789,0.0,0.0,0.0,0.0,18.1,-0.0,-0.0,-0.0,-0.0,-3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.4
3,0,1,90.0,0,26.8,28.2,8.27,0,1.0,0.0,0.0,0.0,27,9,0,0,1,1,729000.0,8100.0,0,0,19248.832000000002,718.24,22425.768,795.24,565.6092829999999,68.3929,0,0,0.0,3.0,270.0,0.0,80.4,84.6,24.81,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,26.8,28.2,8.27,0.0,1.0,0.0,0.0,0.0,0.0,2412.0,2538.0,744.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.76,221.636,0.0,26.8,0.0,0.0,0.0,233.21399999999997,0.0,28.2,0.0,0.0,0.0,0.0,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
0,4,7,60.0,0,18.4,20.7,4.93,0,0.0,1.0,0.0,0.0,0,0,64,16,343,49,216000.0,3600.0,0,0,6229.503999999999,338.55999999999995,8869.742999999999,428.48999999999995,119.82315699999998,24.304899999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,240.0,0.0,73.6,82.8,19.72,0.0,0.0,4.0,0.0,0.0,420.0,0.0,128.79999999999998,144.9,34.51,0.0,0.0,7.0,0.0,0.0,0.0,1104.0,1242.0,295.79999999999995,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.87999999999994,90.71199999999999,0.0,0.0,18.4,0.0,0.0,102.05099999999999,0.0,0.0,20.7,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78.2
0,0,6,125.8,4,27.2,27.7,-4.93,0,0.0,0.0,0.0,1.0,0,0,0,0,216,36,1990865.5119999999,15825.64,64,16,20123.647999999997,739.8399999999999,21253.932999999997,767.29,-119.82315699999998,24.304899999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,754.8,24.0,163.2,166.2,-29.58,0.0,0.0,0.0,0.0,6.0,503.2,3421.7599999999998,3484.66,-620.194,0.0,0.0,0.0,0.0,125.8,108.8,110.8,-19.72,0.0,0.0,0.0,0.0,4.0,753.4399999999999,-134.09599999999998,0.0,0.0,0.0,0.0,27.2,-136.56099999999998,0.0,0.0,0.0,0.0,27.7,-0.0,-0.0,-0.0,-0.0,-4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113.8
0,0,8,62.6,0,20.6,19.7,-3.38,1,0.0,0.0,1.0,0.0,0,0,0,0,512,64,245314.37600000002,3918.76,0,0,8741.816000000003,424.36000000000007,7645.373,388.09,-38.614472,11.424399999999999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,500.8,0.0,164.8,157.6,-27.04,8.0,0.0,0.0,8.0,0.0,0.0,1289.5600000000002,1233.22,-211.588,62.6,0.0,0.0,62.6,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,405.82,-69.628,20.6,0.0,0.0,20.6,0.0,-66.586,19.7,0.0,0.0,19.7,0.0,-3.38,-0.0,-0.0,-3.38,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8
