nebulosite[T.SOLEIL],vent[T.NORD],vent[T.OUEST],vent[T.SUD],nebulosite[T.SOLEIL]:vent[T.NORD],nebulosite[T.SOLEIL]:vent[T.OUEST],nebulosite[T.SOLEIL]:vent[T.SUD],E12,E12:nebulosite[T.SOLEIL],E12:vent[T.NORD],E12:vent[T.OUEST],E12:vent[T.SUD],N12,N12:nebulosite[T.SOLEIL],N12:vent[T.NORD],N12:vent[T.OUEST],N12:vent[T.SUD],Ne12,Ne12:nebulosite[T.SOLEIL],Ne12:vent[T.NORD],Ne12:vent[T.OUEST],Ne12:vent[T.SUD],O3v,O3v:nebulosite[T.SOLEIL],O3v:vent[T.NORD],O3v:vent[T.OUEST],O3v:vent[T.SUD],S12,S12:nebulosite[T.SOLEIL],S12:vent[T.NORD],S12:vent[T.OUEST],S12:vent[T.SUD],T12,T12:nebulosite[T.SOLEIL],T12:vent[T.NORD],T12:vent[T.OUEST],T12:vent[T.SUD],T15,T15:nebulosite[T.SOLEIL],T15:vent[T.NORD],T15:vent[T.OUEST],T15:vent[T.SUD],Vx,Vx:nebulosite[T.SOLEIL],Vx:vent[T.NORD],Vx:vent[T.OUEST],Vx:vent[T.SUD],W12,W12:nebulosite[T.SOLEIL],W12:vent[T.NORD],W12:vent[T.OUEST],W12:vent[T.SUD],E12:N12,E12:Ne12,E12:O3v,E12:S12,E12:T12,E12:T15,E12:Vx,E12:W12,N12:Ne12,N12:O3v,N12:S12,N12:T12,N12:T15,N12:Vx,N12:W12,Ne12:O3v,Ne12:S12,Ne12:T12,Ne12:T15,Ne12:Vx,Ne12:W12,O3v:S12,O3v:T12,O3v:T15,O3v:Vx,O3v:W12,S12:T12,S12:T15,S12:Vx,S12:W12,T12:T15,T12:Vx,T12:W12,T15:Vx,T15:W12,Vx:W12,Y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,286.79999999999995,0.0,40.2,45.0,28.049999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.1999999999999,0.0,93.8,105.0,65.45,0.0,0.0,1281.04,1434.0,893.8599999999999,0.0,0.0,0.0,0.0,0.0,201.0,125.28999999999999,0.0,140.25,0.0,0.0,63.6
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,100.2,100.2,100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.7,15.7,15.7,0.0,0.0,5.4,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,300.6,0.0,45.0,47.099999999999994,16.200000000000003,0.0,400.8,0.0,60.0,62.8,21.6,0.0,0.0,1503.0,1573.1399999999999,541.08,0.0,0.0,0.0,0.0,0.0,235.5,81.0,0.0,84.78,0.0,0.0,89.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,739.1999999999999,0.0,55.300000000000004,70.7,135.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8,0.0,63.2,80.8,154.4,0.0,0.0,834.24,1066.56,2038.08,0.0,0.0,0.0,0.0,0.0,79.79,152.47,0.0,194.93,0.0,0.0,79.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,95.2,0.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,13.1,0.0,0.0,11.7,0.0,11.7,0.0,0.0,12.6,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,666.4,0.0,91.7,81.89999999999999,88.2,0.0,666.4,0.0,91.7,81.89999999999999,88.2,0.0,0.0,1247.12,1113.84,1199.52,0.0,0.0,0.0,0.0,0.0,153.26999999999998,165.06,0.0,147.42,0.0,0.0,81.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,82.8,0.0,0.0,82.8,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,14.1,0.0,16.0,0.0,0.0,16.0,0.0,-20.3,-0.0,-0.0,-20.3,-0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,496.79999999999995,0.0,84.6,96.0,-121.80000000000001,36.0,0.0,1167.48,1324.8,-1680.84,496.79999999999995,0.0,0.0,-0.0,0.0,225.6,-286.23,84.6,-324.8,96.0,-121.80000000000001,88.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,71.4,0.0,0.0,0.0,71.4,3.0,0.0,0.0,0.0,3.0,16.7,0.0,0.0,0.0,16.7,18.1,0.0,0.0,0.0,18.1,-3.69,-0.0,-0.0,-0.0,-3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,499.80000000000007,21.0,116.89999999999999,126.70000000000002,-25.83,0.0,214.20000000000002,1192.38,1292.3400000000001,-263.466,0.0,50.099999999999994,54.300000000000004,-11.07,0.0,302.27000000000004,-61.623,0.0,-66.789,0.0,-0.0,68.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,26.8,0.0,0.0,0.0,28.2,28.2,0.0,0.0,0.0,8.27,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,270.0,0.0,80.4,84.6,24.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,26.8,28.2,8.27,0.0,0.0,2412.0,2538.0,744.3,0.0,0.0,0.0,0.0,0.0,755.76,221.636,0.0,233.21399999999997,0.0,0.0,139.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,18.4,0.0,0.0,20.7,0.0,20.7,0.0,0.0,4.93,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,240.0,0.0,73.6,82.8,19.72,0.0,420.0,0.0,128.79999999999998,144.9,34.51,0.0,0.0,1104.0,1242.0,295.79999999999995,0.0,0.0,0.0,0.0,0.0,380.87999999999994,90.71199999999999,0.0,102.05099999999999,0.0,0.0,78.2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,125.8,0.0,0.0,0.0,125.8,4.0,0.0,0.0,0.0,4.0,27.2,0.0,0.0,0.0,27.2,27.7,0.0,0.0,0.0,27.7,-4.93,-0.0,-0.0,-0.0,-4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,754.8,24.0,163.2,166.2,-29.58,0.0,503.2,3421.7599999999998,3484.66,-620.194,0.0,108.8,110.8,-19.72,0.0,753.4399999999999,-134.09599999999998,0.0,-136.56099999999998,0.0,-0.0,113.8
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,62.6,0.0,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,20.6,0.0,19.7,0.0,0.0,19.7,0.0,-3.38,-0.0,-0.0,-3.38,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,500.8,0.0,164.8,157.6,-27.04,8.0,0.0,1289.5600000000002,1233.22,-211.588,62.6,0.0,0.0,-0.0,0.0,405.82,-69.628,20.6,-66.586,19.7,-3.38,41.8
