T12,T15,Ne12,N12,S12,E12,W12,Vx,O3v,nebulosite_SOLEIL,vent_NORD,vent_OUEST,vent_SUD,T12_sq,T15_sq,Ne12_sq,N12_sq,S12_sq,E12_sq,W12_sq,Vx_sq,O3v_sq,T12_cu,T15_cu,Ne12_cu,N12_cu,S12_cu,E12_cu,W12_cu,Vx_cu,O3v_cu,Y
13.4,15.0,7,0,0,3,0,9.35,95.6,0.0,0.0,0.0,0.0,179.56,225.0,49,0,0,9,0,87.4225,9139.359999999999,2406.1040000000003,3375.0,343,0,0,27,0,817.4003749999999,873722.8159999999,63.6
15.0,15.7,4,3,0,0,0,5.4,100.2,1.0,1.0,0.0,0.0,225.0,246.48999999999998,16,9,0,0,0,29.160000000000004,10040.04,3375.0,3869.8929999999996,64,27,0,0,0,157.46400000000003,1006012.008,89.6
7.9,10.1,8,0,0,7,0,19.3,105.6,0.0,0.0,0.0,0.0,62.410000000000004,102.00999999999999,64,0,0,49,0,372.49,11151.359999999999,493.03900000000004,1030.301,512,0,0,343,0,7189.057000000001,1177583.616,79.0
13.1,11.7,7,7,0,0,0,12.6,95.2,0.0,1.0,0.0,0.0,171.60999999999999,136.89,49,49,0,0,0,158.76,9063.04,2248.091,1601.6129999999996,343,343,0,0,0,2000.3759999999997,862801.408,81.2
14.1,16.0,6,0,0,0,6,-20.3,82.8,0.0,0.0,1.0,0.0,198.81,256.0,36,0,0,0,36,412.09000000000003,6855.839999999999,2803.221,4096.0,216,0,0,0,216,-8365.427000000001,567663.5519999999,88.0
16.7,18.1,7,0,3,0,0,-3.69,71.4,0.0,0.0,0.0,1.0,278.89,327.61000000000007,49,0,9,0,0,13.6161,5097.960000000001,4657.463,5929.741000000002,343,0,27,0,0,-50.243409,363994.3440000001,68.4
26.8,28.2,1,0,0,3,0,8.27,90.0,1.0,0.0,0.0,0.0,718.24,795.24,1,0,0,9,0,68.3929,8100.0,19248.832000000002,22425.768,1,0,0,27,0,565.6092829999999,729000.0,139.0
18.4,20.7,7,4,0,0,0,4.93,60.0,0.0,1.0,0.0,0.0,338.55999999999995,428.48999999999995,49,16,0,0,0,24.304899999999996,3600.0,6229.503999999999,8869.742999999999,343,64,0,0,0,119.82315699999998,216000.0,78.2
27.2,27.7,6,0,4,0,0,-4.93,125.8,0.0,0.0,0.0,1.0,739.8399999999999,767.29,36,0,16,0,0,24.304899999999996,15825.64,20123.647999999997,21253.932999999997,216,0,64,0,0,-119.82315699999998,1990865.5119999999,113.8
20.6,19.7,8,0,0,0,1,-3.38,62.6,0.0,0.0,1.0,0.0,424.36000000000007,388.09,64,0,0,0,1,11.424399999999999,3918.76,8741.816000000003,7645.373,512,0,0,0,1,-38.614472,245314.37600000002,41.8
21.0,21.1,6,0,0,0,7,-23.68,38.0,0.0,0.0,1.0,0.0,441.0,445.21000000000004,36,0,0,0,49,560.7424,1444.0,9261.0,9393.931000000002,216,0,0,0,343,-13278.380032,54872.0,65.0
17.4,22.8,8,0,0,0,2,-6.24,70.8,0.0,0.0,1.0,0.0,302.75999999999993,519.84,64,0,0,0,4,38.9376,5012.639999999999,5268.0239999999985,11852.352,512,0,0,0,8,-242.97062400000002,354894.91199999995,73.0
26.9,29.5,2,0,0,4,0,14.18,119.8,1.0,0.0,0.0,0.0,723.6099999999999,870.25,4,0,0,16,0,201.0724,14352.039999999999,19465.108999999997,25672.375,8,0,0,64,0,2851.206632,1719374.392,126.2
25.5,27.8,3,0,0,5,0,13.79,103.6,1.0,0.0,0.0,0.0,650.25,772.84,9,0,0,25,0,190.1641,10732.96,16581.375,21484.952,27,0,0,125,0,2622.3629389999996,1111934.6559999997,127.8
19.4,21.5,7,6,0,0,0,-7.39,69.2,0.0,1.0,0.0,0.0,376.35999999999996,462.25,49,36,0,0,0,54.6121,4788.64,7301.383999999998,9938.375,343,216,0,0,0,-403.58341899999994,331373.88800000004,61.6
20.8,21.4,7,0,0,0,5,-13.79,48.0,0.0,0.0,1.0,0.0,432.64000000000004,457.9599999999999,49,0,0,0,25,190.1641,2304.0,8998.912,9800.343999999997,343,0,0,0,125,-2622.3629389999996,110592.0,63.6
29.5,30.6,2,0,3,0,0,1.88,118.6,1.0,0.0,0.0,1.0,870.25,936.3600000000001,4,0,9,0,0,3.5343999999999998,14065.96,25672.375,28652.616000000005,8,0,27,0,0,6.644671999999999,1668222.8559999997,134.2
21.7,20.3,7,0,0,0,7,-24.82,60.0,0.0,0.0,1.0,0.0,470.89,412.09000000000003,49,0,0,0,49,616.0324,3600.0,10218.312999999998,8365.427000000001,343,0,0,0,343,-15289.924168000001,216000.0,67.2
19.7,21.7,5,0,0,3,0,9.35,74.4,1.0,0.0,0.0,0.0,388.09,470.89,25,0,0,9,0,87.4225,5535.360000000001,7645.373,10218.312999999998,125,0,0,27,0,817.4003749999999,411830.7840000001,87.8
19.0,21.0,6,0,0,8,0,28.36,103.8,0.0,0.0,0.0,0.0,361.0,441.0,36,0,0,64,0,804.2896,10774.439999999999,6859.0,9261.0,216,0,0,512,0,22809.653056,1118386.872,96.8
20.7,22.9,1,0,0,4,0,12.47,78.8,1.0,0.0,0.0,0.0,428.48999999999995,524.41,1,0,0,16,0,155.50090000000003,6209.44,8869.742999999999,12008.988999999998,1,0,0,64,0,1939.0962230000002,489303.872,89.6
18.0,18.5,7,0,0,0,2,-5.52,72.2,0.0,0.0,1.0,0.0,324.0,342.25,49,0,0,0,4,30.470399999999994,5212.84,5832.0,6331.625,343,0,0,0,8,-168.19660799999997,376367.04800000007,66.4
17.4,16.4,8,0,6,0,0,-10.8,53.4,0.0,0.0,0.0,1.0,302.75999999999993,268.96,64,0,36,0,0,116.64000000000001,2851.56,5268.0239999999985,4410.943999999999,512,0,216,0,0,-1259.7120000000002,152273.30399999997,60.0
16.3,18.1,0,0,0,5,0,18.0,89.0,1.0,0.0,0.0,0.0,265.69,327.61000000000007,0,0,0,25,0,324.0,7921.0,4330.747,5929.741000000002,0,0,0,125,0,5832.0,704969.0,90.8
13.6,14.4,1,0,0,1,0,3.55,97.8,1.0,0.0,0.0,0.0,184.95999999999998,207.36,1,0,0,1,0,12.6025,9564.84,2515.4559999999997,2985.9840000000004,1,0,0,1,0,44.73887499999999,935441.352,104.2
15.8,16.7,7,7,0,0,0,-12.6,61.4,0.0,1.0,0.0,0.0,249.64000000000001,278.89,49,49,0,0,0,158.76,3769.96,3944.3120000000004,4657.463,343,343,0,0,0,-2000.3759999999997,231475.544,70.0
26.0,27.3,2,0,0,5,0,16.91,87.4,1.0,0.0,0.0,0.0,676.0,745.2900000000001,4,0,0,25,0,285.9481,7638.760000000001,17576.0,20346.417,8,0,0,125,0,4835.382371,667627.6240000002,96.2
23.5,23.7,7,0,0,0,3,-9.35,67.8,0.0,0.0,1.0,0.0,552.25,561.6899999999999,49,0,0,0,9,87.4225,4596.839999999999,12977.875,13312.052999999998,343,0,0,0,27,-817.4003749999999,311665.752,65.6
26.3,27.3,4,0,0,5,0,16.91,98.6,1.0,0.0,0.0,0.0,691.69,745.2900000000001,16,0,0,25,0,285.9481,9721.96,18191.447,20346.417,64,0,0,125,0,4835.382371,958585.2559999998,109.2
21.8,23.6,6,4,0,0,0,2.5,112.0,0.0,1.0,0.0,0.0,475.24,556.96,36,16,0,0,0,6.25,12544.0,10360.232000000002,13144.256000000003,216,64,0,0,0,15.625,1404928.0,86.2
24.8,26.6,3,0,0,0,2,-7.09,49.8,1.0,0.0,1.0,0.0,615.0400000000001,707.5600000000001,9,0,0,0,4,50.2681,2480.0399999999995,15252.992000000002,18821.096,27,0,0,0,8,-356.400829,123505.99199999998,87.4
25.2,27.5,3,0,0,0,3,-10.15,131.8,1.0,0.0,1.0,0.0,635.04,756.25,9,0,0,0,9,103.02250000000001,17371.24,16003.007999999998,20796.875,27,0,0,0,27,-1045.6783750000002,2289529.4320000005,84.0
24.6,27.9,3,0,0,0,2,-5.52,113.8,1.0,0.0,1.0,0.0,605.1600000000001,778.41,9,0,0,0,4,30.470399999999994,12950.439999999999,14886.936000000003,21717.638999999996,27,0,0,0,8,-168.19660799999997,1473760.072,83.0
16.8,19.0,7,0,0,0,8,-27.06,55.8,0.0,0.0,1.0,0.0,282.24,361.0,49,0,0,0,64,732.2435999999999,3113.64,4741.6320000000005,6859.0,343,0,0,0,512,-19814.511816,173741.11199999996,59.6
17.1,18.3,8,5,0,0,0,-3.13,65.8,0.0,1.0,0.0,0.0,292.41,334.89000000000004,64,25,0,0,0,9.796899999999999,4329.639999999999,5000.211000000001,6128.487000000001,512,125,0,0,0,-30.664296999999998,284890.312,52.0
18.0,18.3,7,0,5,0,0,-11.57,90.4,0.0,0.0,0.0,1.0,324.0,334.89000000000004,49,0,25,0,0,133.8649,8172.160000000001,5832.0,6128.487000000001,343,0,125,0,0,-1548.8168930000002,738763.2640000001,73.8
28.9,30.0,1,0,0,3,0,8.27,111.4,1.0,0.0,0.0,0.0,835.2099999999999,900.0,1,0,0,9,0,68.3929,12409.960000000001,24137.568999999996,27000.0,1,0,0,27,0,565.6092829999999,1382469.5440000002,129.0
23.4,25.4,0,0,0,2,0,5.52,118.6,1.0,0.0,0.0,0.0,547.56,645.16,0,0,0,4,0,30.470399999999994,14065.96,12812.903999999997,16387.064,0,0,0,8,0,168.19660799999997,1668222.8559999997,122.4
13.0,14.3,3,7,0,0,0,12.6,84.0,1.0,1.0,0.0,0.0,169.0,204.49,9,49,0,0,0,158.76,7056.0,2197.0,2924.2070000000003,27,343,0,0,0,2000.3759999999997,592704.0,106.6
26.0,28.0,2,0,4,0,0,2.5,109.8,1.0,0.0,0.0,1.0,676.0,784.0,4,0,16,0,0,6.25,12056.039999999999,17576.0,21952.0,8,0,64,0,0,15.625,1323753.1919999998,121.8
24.9,25.8,2,0,0,5,0,18.0,142.8,1.0,0.0,0.0,0.0,620.0099999999999,665.64,4,0,0,25,0,324.0,20391.840000000004,15438.248999999998,17173.512000000002,8,0,0,125,0,5832.0,2911954.752000001,116.2
18.4,16.8,7,0,0,0,4,-14.4,80.8,0.0,0.0,1.0,0.0,338.55999999999995,282.24,49,0,0,0,16,207.36,6528.639999999999,6229.503999999999,4741.6320000000005,343,0,0,0,64,-2985.9840000000004,527514.112,81.4
18.7,19.6,5,0,0,0,5,-15.59,60.4,1.0,0.0,1.0,0.0,349.69,384.1600000000001,25,0,0,0,25,243.0481,3648.16,6539.2029999999995,7529.536000000002,125,0,0,0,125,-3789.119879,220348.86399999997,88.6
20.4,16.6,7,0,0,0,8,-22.06,79.8,0.0,0.0,1.0,0.0,416.15999999999997,275.56000000000006,49,0,0,0,64,486.64359999999994,6368.04,8489.663999999999,4574.296000000001,343,0,0,0,512,-10735.357815999998,508169.59199999995,63.0
19.6,21.2,6,0,0,0,3,-10.8,84.6,0.0,0.0,1.0,0.0,384.1600000000001,449.44,36,0,0,0,9,116.64000000000001,7157.159999999999,7529.536000000002,9528.127999999999,216,0,0,0,27,-1259.7120000000002,605495.7359999999,104.0
23.2,23.9,4,0,4,0,0,-7.2,92.6,1.0,0.0,0.0,1.0,538.24,571.2099999999999,16,0,16,0,0,51.84,8574.759999999998,12487.168,13651.918999999998,64,0,64,0,0,-373.24800000000005,794022.7759999998,88.4
19.8,20.3,8,0,0,5,0,17.73,40.2,0.0,0.0,0.0,0.0,392.04,412.09000000000003,64,0,0,25,0,314.35290000000003,1616.0400000000002,7762.392000000001,8365.427000000001,512,0,0,125,0,5573.476917,64964.80800000001,83.8
